player_id,player_name,team,position,as_of_date,age,age_sq,age_over_30,is_big,is_guard,minutes_l7,minutes_l14,minutes_l30,minutes_spike_7v30,games_l7,games_l14,games_l30,road_games_l14,back_to_backs_l14,avg_rest_days_l14,minutes_trend_slope,season_minutes_total,games_played_season,usage_proxy,team_pace,efficiency_drop,prior_injuries_365d,days_since_last_injury,injury_prone_flag,recurrence_same_area,injured_next_14d,true_risk
1020,Nikola Jokic,DEN,C,2025-03-12,32,10.24,2.0,1,0,27.04,30.54,31.6,-0.144,1,3,10,0,1,1.86,0.173,1866.9,65,0.876,97.5,0.031,2,70,0,0,1,0.4991
1038,De'Aaron Fox,SAC,PG,2025-03-18,28,7.84,0.0,0,1,35.57,32.08,29.74,0.196,2,6,13,2,2,1.62,0.467,2095.5,70,0.878,101.61,0.095,0,130,0,0,1,0.5306
1041,Paolo Banchero,ORL,PF,2025-03-20,24,5.76,0.0,1,0,27.98,29.7,23.4,0.196,1,3,8,2,1,1.53,-0.13,2031.4,72,0.831,97.58,0.0,0,194,0,0,0,0.2868
1046,Karl-Anthony Towns,NYK,C,2025-03-21,29,8.41,0.0,1,0,30.65,29.08,23.33,0.314,4,6,13,3,1,1.87,0.132,1754.4,72,0.79,97.6,0.101,1,67,0,1,0,0.7729
1015,Devin Booker,PHX,SG,2025-03-22,29,8.41,0.0,0,1,25.61,27.64,32.86,-0.22,3,6,14,6,1,2.04,0.283,1963.7,72,0.805,100.37,0.068,2,59,0,1,1,0.6733
1040,Pascal Siakam,IND,PF,2025-03-22,31,9.61,1.0,1,0,21.98,23.41,27.42,-0.198,2,6,10,3,1,1.73,-0.06,1558.3,70,0.727,103.69,0.073,0,299,0,0,1,0.234
1014,Kevin Durant,PHX,SF,2025-03-23,36,12.96,6.0,0,0,33.45,33.68,35.06,-0.046,2,4,12,4,1,0.7,-0.646,2348.8,72,0.852,98.66,0.0,0,157,0,0,1,0.2753
1003,D'Angelo Russell,LAL,PG,2025-03-24,30,9.0,0.0,0,1,32.9,30.05,35.36,-0.07,3,7,11,7,2,1.41,-1.022,2432.5,72,0.91,98.74,0.021,0,362,0,0,0,0.361
1027,Ja Morant,MEM,PG,2025-03-24,26,6.76,0.0,0,1,33.2,34.25,32.13,0.033,3,6,13,1,0,1.46,-0.32,2363.2,70,0.77,101.45,0.045,1,39,1,1,0,0.5106
1045,Trae Young,ATL,PG,2025-03-24,26,6.76,0.0,0,1,20.18,21.86,23.0,-0.123,1,3,9,1,1,0.81,0.071,1667.9,72,0.921,102.91,0.0,2,87,0,1,0,0.4515
1002,Austin Reaves,LAL,SG,2025-03-26,27,7.29,0.0,0,1,26.73,29.99,35.93,-0.256,2,5,9,5,0,1.43,-0.274,2228.3,72,0.622,99.39,0.02,0,247,0,0,0,0.1015
1032,Bam Adebayo,MIA,C,2025-03-26,29,8.41,0.0,1,0,33.84,30.19,30.25,0.119,2,4,9,3,2,1.17,-0.83,2151.1,70,0.5,97.28,0.014,1,59,0,1,1,0.7927
1029,Kawhi Leonard,LAC,SF,2025-03-26,34,11.56,4.0,0,0,29.05,26.98,23.61,0.23,1,3,11,1,0,1.49,-0.2,1865.1,72,0.443,97.96,0.076,1,21,1,1,1,0.5936
1023,Luka Doncic,DAL,PG,2025-03-26,26,6.76,0.0,0,1,33.56,33.83,30.28,0.108,1,4,8,0,0,2.05,-0.492,2482.3,71,0.769,99.87,0.0,1,84,0,0,0,0.1881
1016,Bradley Beal,PHX,SG,2025-03-27,31,9.61,1.0,0,1,38.67,33.86,37.25,0.038,2,6,15,3,0,2.13,-0.402,2564.3,71,0.896,98.81,0.03,0,284,0,0,0,0.135
1031,Jimmy Butler,MIA,SF,2025-03-27,37,13.69,7.0,0,0,37.73,39.62,36.76,0.026,3,6,11,3,0,2.3,-0.073,2772.4,72,0.908,97.15,0.031,3,88,1,1,0,0.7043
1025,Joel Embiid,PHI,C,2025-03-27,31,9.61,1.0,1,0,21.52,26.46,24.1,-0.107,3,7,11,3,0,2.01,-0.225,1791.1,72,1.06,96.45,0.063,1,72,1,1,1,0.5239
1009,Kristaps Porzingis,BOS,C,2025-03-27,31,9.61,1.0,1,0,33.4,34.11,30.91,0.08,2,4,13,3,0,1.31,-0.348,2214.3,72,0.586,98.74,0.024,1,51,0,0,0,0.4603
1024,Kyrie Irving,DAL,SG,2025-03-27,32,10.24,2.0,0,1,31.36,34.2,36.43,-0.139,1,5,13,5,0,1.31,-0.43,2424.1,72,0.746,99.27,0.0,0,241,0,0,0,0.1344
1013,Andrew Wiggins,GSW,SF,2025-03-28,30,9.0,0.0,0,0,38.53,34.68,32.76,0.176,2,6,12,4,2,1.63,0.286,2188.8,71,0.437,103.27,0.092,0,229,0,0,0,0.4529
1019,Brook Lopez,MIL,C,2025-03-28,38,14.44,8.0,1,0,25.23,25.73,27.76,-0.091,3,5,14,2,1,1.93,0.501,1857.0,72,0.562,100.18,0.072,0,264,0,0,0,0.3245
1034,Donovan Mitchell,CLE,SG,2025-03-28,30,9.0,0.0,0,1,34.67,31.7,29.86,0.161,3,7,14,5,0,0.99,-0.0,1980.0,72,0.823,97.1,0.208,0,194,0,0,0,0.2316
1005,Jarred Vanderbilt,LAL,SF,2025-03-28,26,6.76,0.0,0,0,30.52,32.72,30.47,0.002,1,4,9,1,1,1.33,-0.984,2220.1,72,0.705,98.36,0.068,0,356,0,0,0,0.1275
