feature,mean_abs_shap
days_since_last_injury,0.688493111838699
back_to_backs_l14,0.4504314488726945
minutes_l7,0.3642214143490145
minutes_spike_7v30,0.303110228612745
prior_injuries_365d,0.2991019573876355
recurrence_same_area,0.29297936966242505
road_games_l14,0.2392127126570842
team_pace,0.23624457472849322
avg_rest_days_l14,0.2307223492878402
usage_proxy,0.22737516707068917
minutes_trend_slope,0.2119299777356386
is_big,0.19797405954639863
minutes_l30,0.18244151973531988
injury_prone_flag,0.17306085721302666
season_minutes_total,0.17278846203403112
efficiency_drop,0.1653959954921835
age,0.1584540275334156
minutes_l14,0.1428799879844634
games_l7,0.09940581967298233
games_l30,0.09468757532167342
games_played_season,0.08246935712228709
is_guard,0.060723208326149275
games_l14,0.057580863751533186
age_sq,0.0440143979112285
age_over_30,0.011158504054765
